门锁编号,身份证号(加密后),密码编号,操作类型,操作结果,返回信息,时间戳,调用返回结果
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,5,1001,HH0000,成功,1547828162910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f9bd5c5006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,6,1002,HH0000,成功,1547792273492,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f9bd739006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,6,1001,HH0000,成功,1547831762910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f9bfc59006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,1,1002,HH0000,成功,1547792283121,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9bfce0006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1,1001,HH0000,成功,1547835362910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9c2367006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,2,1002,HH0000,成功,1547792293044,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9c23ae006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,2,1001,HH0000,成功,1547838962910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9c4a7f006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,3,1002,HH0000,成功,1547792303132,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9c4b15006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,3,1001,HH0000,成功,1547842562910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9c7185006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,4,1002,HH0000,成功,1547792313108,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9c71e8006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,7,1001,HH0000,成功,1547846162910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":7,""business_id"":""1685f9c9898006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,5,1002,HH0000,成功,1547792323052,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f9c98e2006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,4,1001,HH0000,成功,1547849762910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9cbfa3006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
